Dataset,Method,Best_k(Silhouette),Sil@k=2,Sil@best_k,Sil@k=10,Sil_range(max-min),Bal@k=2,Bal@best_k,Bal@k=10,Bal_range(max-min),SPD@k=2,SPD@best_k,SPD@k=10,SPD_range(max-min)
law_combined,K-Means,3,0.2652,0.2844,0.1561,0.1283,0.6141,0.5962,0.622,0.1138,0.0046,0.003,0.0084,0.0126
law_combined,Fairlet,2,0.1977,0.1977,0.0179,0.1799,0.6765,0.6765,0.9124,0.2359,0.2544,0.2544,0.0719,0.1825
law_combined,BFKM,2,0.2652,0.2652,0.1468,0.1247,0.6141,0.6141,0.5805,0.0682,0.0046,0.0046,0.0138,0.0164
law_combined,CCF,3,0.2568,0.2693,0.1344,0.1349,0.6129,0.5993,0.5589,0.0703,0.0038,0.0029,0.0075,0.0126
law_combined,PP-NFP,3,0.2652,0.2844,0.1557,0.1286,0.6141,0.5962,0.621,0.0619,0.0046,0.003,0.0051,0.01
law_combined,PP-Gini,3,0.2652,0.2844,0.1557,0.1287,0.6141,0.5962,0.621,0.0619,0.0046,0.003,0.0051,0.01
law_combined,Rawlsian,2,0.2652,0.2652,0.1486,0.1242,0.6141,0.6141,0.5291,0.085,0.0046,0.0046,0.0145,0.0126
diabetes_gender,K-Means,6,0.074,0.0806,0.0498,0.0578,0.8583,0.846,0.7936,0.0732,0.0134,0.0051,0.003,0.0108
diabetes_gender,Fairlet,2,0.0352,0.0352,0.0005,0.046,0.8768,0.8768,0.9641,0.0874,0.0701,0.0701,0.0201,0.05
diabetes_gender,BFKM,2,0.1535,0.1535,0.0643,0.1196,0.8808,0.8808,0.8532,0.0387,0.0095,0.0095,0.0035,0.0066
diabetes_gender,CCF,4,0.0722,0.0788,0.0502,0.0566,0.8578,0.8407,0.8281,0.0383,0.007,0.0062,0.003,0.015
diabetes_gender,PP-NFP,6,0.074,0.0802,0.0513,0.0565,0.8583,0.8573,0.9158,0.0748,0.0134,0.0051,0.0029,0.0109
diabetes_gender,PP-Gini,6,0.074,0.0802,0.0513,0.0565,0.8583,0.8573,0.9158,0.0748,0.0134,0.0051,0.0029,0.0109
diabetes_gender,Rawlsian,2,0.0748,0.0748,0.0646,0.0549,0.8585,0.8585,0.8085,0.0665,0.0141,0.0141,0.0078,0.0104
diabetes_race,K-Means,9,0.0743,0.0816,0.0473,0.0617,0.2521,0.1845,0.1807,0.0714,0.0164,0.0085,0.0114,0.0166
diabetes_race,Fairlet,4,-0.0303,0.012,-0.0693,0.0812,0.713,0.7794,0.9088,0.1959,0.2603,0.2264,0.1066,0.1537
diabetes_race,BFKM,3,0.0749,0.1807,0.0607,0.1499,0.2521,0.1734,0.2053,0.0787,0.0153,0.0389,0.0146,0.0244
diabetes_race,CCF,9,0.0685,0.082,0.0505,0.0615,0.2518,0.3233,0.1818,0.2035,0.0143,0.0088,0.0118,0.0171
